iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.052527,
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052508,
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052548,
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052556,
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.052537,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.053249,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053234,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053268,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053276,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.053259,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.053943,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053928,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053972,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053981,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.053953,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.054642,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054627,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054661,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054669,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.054651,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.055322,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055308,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.05534,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055347,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.055331,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.05613,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056114,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056149,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056157,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.05614,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.056825,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.05681,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056844,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056852,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.056834,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.057519,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057505,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057537,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057545,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.057528,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.058218,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058204,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058237,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058245,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.058227,
AFG,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.058908,
