iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2.068077972309553,tonnes,annual,2023-10-03 21:10:36.118903,
ABW,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,295039.56625274086,tonnes,annual,2023-10-03 21:10:36.11889,
ABW,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,297359.53612207767,tonnes,annual,2023-10-03 21:10:36.118931,
ABW,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,297468.5238312184,tonnes,annual,2023-10-03 21:10:36.118939,
ABW,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,8.272311889238233,tonnes,annual,2023-10-03 21:10:36.118912,
ABW,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2.0704421103281136,tonnes,annual,2023-10-03 21:10:36.262508,
ABW,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,295376.8428278492,tonnes,annual,2023-10-03 21:10:36.262498,
ABW,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,297699.4647872153,tonnes,annual,2023-10-03 21:10:36.262524,
ABW,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,297808.5770864296,tonnes,annual,2023-10-03 21:10:36.262532,
ABW,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,8.281768441312474,tonnes,annual,2023-10-03 21:10:36.262516,
ABW,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,2.1426194197634887,tonnes,annual,2023-10-03 21:10:36.404561,
ABW,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,305673.921736011,tonnes,annual,2023-10-03 21:10:36.404551,
ABW,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,308077.5122011017,tonnes,annual,2023-10-03 21:10:36.404577,
ABW,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,308190.4282445232,tonnes,annual,2023-10-03 21:10:36.404585,
ABW,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,8.57047767905397,tonnes,annual,2023-10-03 21:10:36.404568,
ABW,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,2.163849288320523,tonnes,annual,2023-10-03 21:10:36.548443,
ABW,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,308702.65241954266,tonnes,annual,2023-10-03 21:10:36.548433,
ABW,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,311130.05855118064,tonnes,annual,2023-10-03 21:10:36.548459,
ABW,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,311244.0934086751,tonnes,annual,2023-10-03 21:10:36.548467,
ABW,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,8.655397153282108,tonnes,annual,2023-10-03 21:10:36.54845,
ABW,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,2.2276408636984084,tonnes,annual,2023-10-03 21:10:36.708923,
ABW,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,317803.3918413991,tonnes,annual,2023-10-03 21:10:36.708913,
ABW,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,320302.35936229595,tonnes,annual,2023-10-03 21:10:36.708939,
ABW,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,320419.75603581284,tonnes,annual,2023-10-03 21:10:36.708947,
ABW,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,8.910563454793651,tonnes,annual,2023-10-03 21:10:36.70893,
ABW,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,1.1214264318873564,tonnes,annual,2023-10-03 21:10:36.865741,
ABW,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,159986.79570040904,tonnes,annual,2023-10-03 21:10:36.86573,
ABW,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,161244.8118717003,tonnes,annual,2023-10-03 21:10:36.865757,
ABW,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,161303.91104466075,tonnes,annual,2023-10-03 21:10:36.865765,
ABW,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,4.485705727549439,tonnes,annual,2023-10-03 21:10:36.865749,
ABW,transportation,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,1.9809058736258272,tonnes,annual,2023-10-03 21:10:37.076186,
ABW,transportation,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,282603.275876191,tonnes,annual,2023-10-03 21:10:37.076175,
