DATAFLOW,LAST UPDATE,freq,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1993,74,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1994,77,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1995,77,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1996,72,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1997,70,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1998,68,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,1999,68,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2000,68,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2001,68,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2002,58,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2013,52,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2014,52,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2015,38,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2016,38,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2017,38,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2018,34,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2019,34,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2020,21,
ESTAT:RAIL_EQ_LOCON(1.0),31/07/24 23:00:00,A,LOC,DIE,NR,AL,2021,21,
