DATAFLOW,LAST UPDATE,freq,mot_nrg,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1993,89.700,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1994,102.900,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1995,102.900,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1996,96.750,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1998,94,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,1999,94,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2000,93.800,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2001,93.750,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2002,73.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2013,66.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2014,66.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2015,51.300,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2016,51.300,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2017,51.300,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2018,45.900,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2019,45.900,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2020,28.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2021,28.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AL,2022,24.300,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AT,1990,268,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AT,1991,276,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AT,1992,294,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AT,1993,304,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,AT,2007,295,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2010,55,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2011,55,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2012,55,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2013,91,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2014,91,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2015,91,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2016,91,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2017,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2018,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2019,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2020,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2021,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BA,2022,90,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1990,446,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1991,531,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1992,528,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1993,512,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1994,501,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1995,498,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1996,495,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1997,478,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1998,470,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,1999,458,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2000,474,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2001,459,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2002,413,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2003,398,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2004,357,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2005,356,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2006,338,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2007,318,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2008,269,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BE,2009,239,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1990,721.600,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1991,691.500,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1992,652.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1993,651.400,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1994,592.800,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1995,592.800,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1996,550.800,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1997,538.100,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1998,476,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,1999,477,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,2000,454,
ESTAT:RAIL_EQ_LOCOP(1.0),31/07/24 23:00:00,A,DIE,LOC,MW,BG,2001,445.800,
