DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,1993,13.800,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,1994,13.800,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,1995,13.800,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,1996,11.488,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,1997,11.400,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,AL,2020,0,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BA,2010,4,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BA,2011,5,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BA,2012,5,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1990,168,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1991,163,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1992,162,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1993,161,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1994,158,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1995,160,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1996,164,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1997,163,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1998,152,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,1999,152,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2000,150,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2001,143,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2002,132,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2003,130,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2004,129,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2005,126,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2006,125,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2007,131,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2008,138,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BE,2009,149,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1990,124.772,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1991,132.253,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1992,131.845,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1993,132.890,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1994,119.951,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1995,121.500,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1996,119.700,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1997,119.800,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1998,116.700,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,1999,115,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2000,116,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2001,102.500,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2002,90.500,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2003,87.700,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2004,87.500,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2008,86.400,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2009,76.300,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2010,23.920,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2011,23.720,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2012,23.720,
ESTAT:RAIL_EQ_PA_CTY(1.0),31/07/24 23:00:00,A,THS,COA_RCA_TRL,BG,2013,27.440,
