DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,AT,1992,133,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,AT,1993,133,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,AT,2007,136,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1993,78,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1994,77,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1995,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1996,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1997,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1998,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,1999,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2000,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2001,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2002,66,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2003,59,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2004,47,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2005,36,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2006,30,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2007,15,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2008,15,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BE,2009,15,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,1995,196,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,1996,174,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,1997,175,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,1998,187,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,1999,172,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,2000,172,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,2001,183,
ESTAT:RAIL_EQ_PA_NCA(1.0),16/06/14 23:00:00,A,NR,COU,BG,2002,185,
