DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,1993,158,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,1994,158,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,1995,158,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,1996,131,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,1997,78,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2013,44,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2014,44,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2015,34,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2016,34,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2017,26,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2018,26,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2019,26,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2020,0,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2021,18,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AL,2022,18,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2007,2402,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2010,1656,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2011,1541,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2012,1484,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2013,1419,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2014,1289,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2015,1215,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2016,1198,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2017,968,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2018,893,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2019,1351,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,AT,2020,1396,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,1999,165,
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,2008,,z
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,2009,,z
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,2010,109,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,2011,117,s
ESTAT:RAIL_EQ_PA_NTY(1.0),31/07/24 23:00:00,A,NR,COA_RCA_TRL,BA,2012,113,s
