DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AL,2020,0,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2012,58,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2013,58,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2014,58,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2015,58,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2016,67,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2017,60,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2018,92,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2019,84,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2020,84,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2021,89,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,AT,2022,517,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2017,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2018,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2019,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2020,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2021,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,BA,2022,17,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2008,514,s
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2009,576,s
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2010,607,s
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2011,647,s
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2012,666,s
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2013,685,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2014,702,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2015,722,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2016,596,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2017,544,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2018,544,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2019,530,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2020,518,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2021,524,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,DK,2022,501,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2014,38,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2015,38,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2016,38,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2017,38,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2018,38,p
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2019,38,p
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2020,38,
ESTAT:RAIL_EQ_TRSET(1.0),31/07/24 23:00:00,A,NR,TOTAL,EE,2021,38,
