DATAFLOW,LAST UPDATE,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1993,2211,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1994,2119,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1995,2119,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1996,2072,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1997,2037,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1998,1648,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,1999,840,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2000,840,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2001,834,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2002,834,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2013,390,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2014,390,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2015,360,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2016,360,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2017,236,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2018,236,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2019,236,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2020,165,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2021,165,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AL,2022,114,
ESTAT:RAIL_EQ_WAGON(1.0),31/07/24 23:00:00,A,WAG,NR,AT,1992,36340,
