DATAFLOW,LAST UPDATE,freq,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2004,771,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2005,757,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2006,798,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2007,897,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2008,852,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2009,693,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2010,1163,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2011,1195,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2012,1121,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2013,934,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2014,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2015,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2016,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2017,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2018,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2019,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2020,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2021,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2022,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,AT,2023,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2004,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2005,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2006,1687,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2007,1668,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2008,1552,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2009,1045,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2010,1101,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2011,1082,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2013,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2014,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2015,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2016,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2017,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2018,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2019,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2020,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2021,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2022,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BE,2023,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BG,2006,21,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL,CNT_SWP,MIO_TKM,BG,2007,24,
