DATAFLOW,LAST UPDATE,freq,dang_gds,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2004,175,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2005,173,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2006,186,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2007,211,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2008,201,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2009,171,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2010,216,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2011,221,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2012,221,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2013,214,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2014,221,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2015,216,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2016,212,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2017,223,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2018,223,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2019,250,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2020,246,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2021,302,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2022,288,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,AT,2023,242,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2004,136,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2005,160,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2006,152,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2007,149,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2008,137,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2009,83,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2010,88,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2011,86,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2013,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2014,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2015,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2016,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2017,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2018,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2019,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2020,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2021,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2022,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BE,2023,,c
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2006,8,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2007,3,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2008,347,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2009,388,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2010,363,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2011,406,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2012,371,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2013,482,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2014,483,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2015,493,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2016,442,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2017,555,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2018,460,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2019,391,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2020,612,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2021,430,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2022,507,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,BG,2023,435,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2008,166,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2009,153,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2010,179,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2011,189,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2012,151,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2013,174,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2014,170,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2015,178,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2016,182,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2017,177,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2018,193,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2019,198,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2020,166,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2021,190,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2022,207,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CH,2023,199,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2004,178,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2005,188,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2006,176,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2007,169,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2008,174,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2009,103,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2010,128,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2011,112,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2012,116,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2013,130,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2014,133,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2015,229,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2016,110,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2017,128,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2018,131,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2019,120,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2020,137,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2021,129,
ESTAT:RAIL_GO_DNGGOOD(1.0),04/09/24 23:00:00,A,CORROS,MIO_TKM,CZ,2022,145,
