DATAFLOW,LAST UPDATE,freq,unit,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2004,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2014,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2012,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2013,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2014,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2015,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2018,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2009,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2011,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2012,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2019,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2020,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2021,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2022,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,RO,2004,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,RO,2005,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,RO,2006,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,RO,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,TR,2010,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,EL,2006,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,HU,2008,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,HU,2009,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,LT,2010,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,LV,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,LV,2017,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,PL,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,SK,2003,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AM,SK,2005,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2003,51,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2004,64,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2005,77,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2006,83,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2007,67,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2008,67,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2009,82,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2010,119,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2011,107,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2013,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2014,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2015,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2019,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2020,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2021,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2022,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BE,2023,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BG,2006,7,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BG,2007,14,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BG,2008,14,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BG,2009,7,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,MIO_TKM,AT,BG,2010,8,
