DATAFLOW,LAST UPDATE,freq,unit,c_unload,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2009,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2010,12,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2011,56,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2012,97,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2013,28,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2014,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2020,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,EE,2021,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2003,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2005,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2006,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2010,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2011,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,FI,2013,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2013,11,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2014,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2015,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2016,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2017,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2020,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2021,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2022,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LT,2023,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2006,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2007,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2008,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2009,9,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2010,34,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2011,8,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2012,42,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2013,10,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2014,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2015,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2016,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2017,7,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,LV,2020,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,PL,2005,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,PL,2006,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AF,TR,2023,4,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2006,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2007,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2009,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2010,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2011,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2012,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2013,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2014,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2015,,c
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2016,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2017,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2020,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,AT,2021,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2007,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2008,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2009,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2010,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2011,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2012,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2013,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2014,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2015,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2016,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2017,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,BG,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2004,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2005,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2006,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2007,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2008,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2009,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2010,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2011,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2012,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2013,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2017,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,CZ,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2009,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2010,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2011,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2012,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2013,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,DE,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,FR,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2006,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2007,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2008,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2009,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2010,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2011,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2012,1,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2013,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2014,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2016,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2017,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2018,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HR,2019,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2003,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2004,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2005,0,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2006,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2007,2,
ESTAT:RAIL_GO_INTGONG(1.0),05/09/24 11:00:00,A,MIO_TKM,AL,HU,2008,5,
