DATAFLOW,LAST UPDATE,freq,loadstat,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2004,2208,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2005,1406,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2006,2171,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2007,3323,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2008,3419,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2009,3234,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2010,1923,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2011,3204,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2012,2178,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2013,1983,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2014,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2015,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2016,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2017,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2018,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2019,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2020,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2021,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2022,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,AT,2023,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2013,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2014,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2015,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2016,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2017,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2018,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2019,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2020,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2021,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2022,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BE,2023,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2019,114,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2020,9,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2021,9,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,BG,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2008,45,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2021,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CH,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2004,1336,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2021,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,CZ,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2004,3410,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2005,1393,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2006,1645,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2007,1031,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2008,411,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2009,28,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2010,231,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2011,26,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2012,196,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2013,9347,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2014,327,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2015,265,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2016,298,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2017,934,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2018,1303,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2019,1578,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2020,1166,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2021,2148,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2022,2926,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DE,2023,1723,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DK,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DK,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,INTL,RVEH,NR,DK,2006,0,
