DATAFLOW,LAST UPDATE,freq,unit,power,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1990,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1991,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1992,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1993,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1994,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1995,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1996,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1997,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1998,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,1999,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2000,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2003,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2004,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2005,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2006,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2007,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2008,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2009,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2010,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2011,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2012,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2013,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2014,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2015,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2016,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2017,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2018,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2019,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2020,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2021,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AL,2022,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AT,1990,3160,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AT,2007,3466,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AT,2010,3498,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC15000,AT,2011,3363,
