DATAFLOW,LAST UPDATE,freq,unit,tra_infr,gaugert,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1990,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1991,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1992,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1993,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1994,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1995,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1996,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1997,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1998,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,1999,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2000,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2003,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2004,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2005,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2006,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2007,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2008,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2009,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2010,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2011,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2012,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2013,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2014,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2015,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2016,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2017,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2018,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2019,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2020,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2021,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AL,2022,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1990,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1991,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1992,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1993,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1994,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1995,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1996,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1997,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1998,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,1999,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2000,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2001,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2002,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2003,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2004,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2005,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2006,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2007,0,
