DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2013,346,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2014,346,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2015,379,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2016,334,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2017,334,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2018,334,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2019,234.850,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2020,204.150,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2021,224,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AL,2022,204.150,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2008,5572,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2009,5572,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2010,5707,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2011,5263,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2012,5329,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2013,5294,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2014,5294,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2015,5285,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2016,5237,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2017,5273,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2018,5272,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2019,5361,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2020,5353,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2021,5349,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,AT,2022,5321,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2008,1017,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2009,1017,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2010,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2011,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2012,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2013,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2014,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2015,1027,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2016,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2017,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2018,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2019,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2020,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2021,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BA,2022,1018,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2008,3374,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2009,3367,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2010,3371,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2011,3376,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2012,3381,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2013,3384,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2014,3420,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2015,3396,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2016,3391,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2017,3394,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2018,3396,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2019,3403,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2020,3404,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2021,3401,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BE,2022,3408,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2008,4144,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2009,4150,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2010,4098,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2011,4072,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2012,4070,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2013,4032,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2014,4023,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2015,4019,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2016,4029,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2017,4030,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2018,4030,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2019,4030,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2020,4029,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2021,4031,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,BG,2022,4029,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2008,5055,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2009,5097,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2010,5033,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2011,5049,s
