DATAFLOW,LAST UPDATE,freq,tra_infr,n_tracks,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1990,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1991,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1992,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1993,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1994,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1995,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1996,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1997,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1998,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,1999,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2000,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2003,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2004,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2005,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2006,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2007,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2008,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2009,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2010,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2011,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2012,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2013,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2014,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2015,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2016,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2017,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2018,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2019,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2020,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2021,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AL,2022,0,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1990,1586,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1991,1570,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1992,1567,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1993,1587,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1994,1602,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1995,1618,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1996,1634,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1997,1650,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1998,1666,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,1999,1682,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2000,1698,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2001,1714,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2002,1730,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2003,1585,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2004,1518,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2005,1478,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2006,1475,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2007,1475,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2008,1477,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2009,2002,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2010,1832,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2011,1794,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2012,1793,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2013,1796,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2014,1796,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2015,1794,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2016,1792,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2017,1798,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2018,1793,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2019,1810,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2020,1824,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2021,1835,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,AT,2022,1849,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1990,751,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1991,751,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1992,751,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1993,751,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1994,751,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1995,663,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1996,689,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1997,689,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1998,688,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,1999,687,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2000,688,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2001,686,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2002,687,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2003,687,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2004,654,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2005,654,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2006,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2007,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2008,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2009,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2010,678,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2011,678,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2012,678,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2013,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2014,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2015,679,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2016,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2017,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2018,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2019,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2020,656,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2021,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BA,2022,655,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1990,162,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1991,162,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1992,159,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1993,185,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1994,186,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1995,185,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1996,208,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1997,206,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1998,306,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,1999,345,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2000,347,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2001,340,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2002,355,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2003,354,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2004,357,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2005,372,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2006,383,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2007,383,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2008,309,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BE,2009,349,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1990,1680,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1991,1680,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1992,1690,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1993,1690,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1994,1681,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1995,1687,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1996,1741,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1997,1742,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1998,1743,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,1999,1743,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,2000,1776,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,2001,1880.100,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,BG,2002,1880.100,
