DATAFLOW,LAST UPDATE,freq,unit,train,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,BG,2009,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,CZ,2004,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2004,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2005,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2006,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2007,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2004,4,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2005,5,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2006,3,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2007,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2008,3,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2009,6,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2010,4,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2011,4,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2013,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2014,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2015,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2016,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2017,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2018,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2019,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2020,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2021,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2022,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2006,1,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2007,1,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2008,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2009,1,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2010,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2011,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2012,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2013,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2014,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2015,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2016,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2017,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2018,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2019,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2021,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2008,179,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2009,170,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2010,193,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2011,195,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2012,223,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2013,218,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2014,211,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2015,257,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2016,247,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2017,251,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2018,259,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2019,283,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2020,116,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2021,135,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2022,273,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2023,314,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2004,101,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2005,136,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2006,116,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2007,205,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2008,160,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2009,168,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2010,169,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2011,199,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2012,214,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2013,260,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2014,296,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2015,346,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2016,709,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2017,648,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2018,759,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2019,910,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2020,257,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2021,318,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2022,836,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2023,1010,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2004,1160,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2005,926,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2006,929,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2007,929,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2008,951,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2009,1031,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2010,1064,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2011,1435,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2012,1332,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2013,1427,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2014,1445,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2015,1212,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2016,1263,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2017,1569,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2018,1291,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2019,1880,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2020,1619,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2021,1155,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2022,2222,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DE,2023,2464,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2004,22,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2005,16,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2006,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2007,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2008,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2009,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2010,12,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2011,17,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2012,11,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2013,8,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2014,6,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2015,8,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2016,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2017,8,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2018,5,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2019,6,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2022,1,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,DK,2023,2,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,ES,2017,0,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2004,17,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2005,20,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2006,18,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2007,8,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2008,4,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2009,3,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2010,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2011,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2012,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2013,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2014,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2015,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2016,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,FR,2017,,c
