DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,BE,1993,7563,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,BE,1994,7331,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,BE,2000,13805,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,BE,2001,9936,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,BE,2002,10679,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CH,1990,179984,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CH,1995,1194,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CH,1996,917,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2000,568,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2001,607,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2002,528,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2003,991,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2004,1392,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2005,2571,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2006,3420,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2007,4875,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2008,5833,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2009,6761,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2010,6552,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2011,6828,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,CZ,2012,6726,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,1995,877,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,1996,249,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,1997,214,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,1998,14,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,2004,,z
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,2005,,z
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,2006,,z
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,2007,,z
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,EL,2008,,z
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,ES,1995,1835,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,ES,1996,1267,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1989,189,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1990,182,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1991,156,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1992,60,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1993,73,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1994,90,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1995,102,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1996,49,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1997,25,
ESTAT:RAIL_PA_NBCAR(1.0),16/06/14 23:00:00,A,NR,INTL_LD,FI,1998,46,
