DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1979,84000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1980,80000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1981,75000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1982,67000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1983,51000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1984,43000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1985,40000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1986,44000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1987,45000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1988,51000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1989,49000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1990,43000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1991,43000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1992,39000,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1993,60588,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1994,67006,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1995,25161,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,BE,1996,23640,
ESTAT:RAIL_PA_NBPASS(1.0),02/03/15 23:00:00,A,PAS,INTL,CZ,2000,568,
