DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2013,11.730,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2014,7.714,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2015,6.990,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2016,3.162,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2017,2.443,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2018,2.720,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2019,2,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2020,0.590,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2021,0.812,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AL,2022,0.437,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2008,10837,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2009,10653,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2010,10737,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2011,10876,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2012,11323,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2013,11914,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2014,12092,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2015,12208,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2016,12578,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2017,12657,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2018,13205,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2019,13350,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,AT,2020,7417,
