DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,1995,428,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,1996,362,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,1997,212,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2013,74.830,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2014,106.410,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2015,73.230,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2016,32.525,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2017,63.112,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2018,68.060,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2019,58.960,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2020,20.300,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2021,22.019,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AL,2022,5.187,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AT,1992,2335,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AT,1993,2139,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AT,2007,4979,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,AT,2011,2723,
