DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2013,369.860,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2014,291.626,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2015,352.024,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2016,163.336,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2017,106.810,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2018,249.020,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2019,214,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2020,39.007,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2021,66.123,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AL,2022,20.367,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1990,75460,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1992,96511,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1993,94111,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1994,93606,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1995,88693,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1996,82912,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1997,86922,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,1998,90228,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2004,93903,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2005,94757,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2006,100627,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2007,100448,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2008,104993,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2010,106513,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2011,106585,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2012,105153,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2013,105036,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2014,110121,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2015,111518,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2016,112153,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2017,114784,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2018,113202,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2019,120260,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2020,113388,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2021,123417,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,AT,2022,127833,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2013,1827,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2014,1806,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2015,1675,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2016,1507,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2017,1528,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2018,2009,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2019,1681,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2020,1023,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2021,1237,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BA,2022,1357,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1979,70783,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1980,72028,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1981,74523,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1982,73374,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1983,70557,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1984,72561,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1985,72310,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1986,70497,
ESTAT:RAIL_TF_PASSMOV(1.0),31/07/24 23:00:00,A,THS_TRKM,TOTAL,BE,1987,72107,
