DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2013,443.480,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2014,429.289,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2015,427.230,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2016,199.192,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2017,198.047,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2018,329.840,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2019,275,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2020,69.395,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2021,98.617,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AL,2022,81.250,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AT,2018,7654,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AT,2019,5730,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AT,2020,6506,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,AT,2021,6442,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2013,448,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2014,520,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2015,480,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2016,619,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2017,651,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2018,820,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2019,709,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2020,457,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2021,698,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BA,2022,725,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,BG,2013,6049.700,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2013,10350,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2014,11255,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2015,10645,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2016,11233,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2017,10437,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2018,10979,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2019,11037,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2020,11946,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2021,9690,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,CZ,2022,10045,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2017,7862,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2018,15753,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2019,15289.369,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2020,11574.997,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2021,12195.203,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2022,10511.034,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2013,5992,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2014,5257,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2015,4113,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2016,3404,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2017,3359,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2018,3819,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2019,3499,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2020,3290,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2021,3704,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2022,3366,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2013,4617,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2014,3928,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2015,3173,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2013,10108,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2014,10266,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2015,10002,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2016,9408,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2017,9437,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2018,10293,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2019,10274,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2020,9845,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2021,9707,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2022,5438,
