DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2006,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2007,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2008,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2009,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2010,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2011,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2012,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2013,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2014,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2015,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2016,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2017,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2018,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2019,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2020,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2021,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,AT,2022,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2006,84,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2007,77,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2008,94,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2009,34,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2010,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2011,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2012,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2013,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2014,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2015,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2016,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2017,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2018,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2019,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2020,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2021,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BE,2022,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2006,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2007,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2008,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2009,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2010,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2011,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2012,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2013,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2014,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2015,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2016,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2017,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2018,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2019,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2020,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2021,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,BG,2022,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2009,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2010,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2011,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2012,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2013,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2014,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2015,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2016,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2017,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2018,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2019,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2020,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2021,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2022,6,
