DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2006,78,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2007,113,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2008,93,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2009,101,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2010,90,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2011,87,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2012,80,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2013,99,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2014,92,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2015,95,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2016,99,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2017,73,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2018,92,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2019,71,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2020,74,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2021,75,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,AT,2022,101,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,BE,2006,97,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,BE,2007,94,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,BE,2009,69,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,BE,2010,84,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,BE,2011,98,
