DATAFLOW,LAST UPDATE,freq,unit,accident,victim,pers_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2006,4,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2007,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2009,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2010,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2013,5,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2015,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2017,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2018,3,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2020,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2021,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,AT,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2007,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2008,4,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2010,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2012,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2016,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2017,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,COLLIS,INJ_SRL,EMP,BE,2018,0,
