Entity,Code,Year,ASKs,RPKs
World,OWID_WRL,1950,46000000000,28000000000
World,OWID_WRL,1951,55000000000,35000000000
World,OWID_WRL,1952,64000000000,40000000000
World,OWID_WRL,1953,75000000000,47000000000
World,OWID_WRL,1954,86000000000,52000000000
World,OWID_WRL,1955,99000000000,61000000000
World,OWID_WRL,1956,114000000000,71000000000
World,OWID_WRL,1957,133000000000,82000000000
World,OWID_WRL,1958,146000000000,85000000000
World,OWID_WRL,1959,162000000000,98000000000
World,OWID_WRL,1960,184000000000,109000000000
World,OWID_WRL,1961,212000000000,117000000000
World,OWID_WRL,1962,243000000000,130000000000
World,OWID_WRL,1963,274000000000,147000000000
World,OWID_WRL,1964,306000000000,171000000000
World,OWID_WRL,1965,354000000000,198000000000
World,OWID_WRL,1966,397000000000,229000000000
World,OWID_WRL,1967,479000000000,273000000000
World,OWID_WRL,1968,578885000000,309422000000
World,OWID_WRL,1969,674973000000,350899000000
World,OWID_WRL,1970,839930000000,460481000000
World,OWID_WRL,1971,914070000000,494137000000
World,OWID_WRL,1972,980766000000,560078000000
World,OWID_WRL,1973,1072599000000,618184000000
World,OWID_WRL,1974,1107532000000,656426000000
World,OWID_WRL,1975,1178880000000,697285000000
World,OWID_WRL,1976,1269815000000,763762000000
World,OWID_WRL,1977,1346260000000,818300000000
World,OWID_WRL,1978,1451184000000,936352000000
World,OWID_WRL,1979,1607188000000,1060236000000
World,OWID_WRL,1980,1723903000000,1089128000000
World,OWID_WRL,1981,1756539000000,1119066000000
World,OWID_WRL,1982,1794646000000,1142193000000
World,OWID_WRL,1983,1852088000000,1189767000000
World,OWID_WRL,1984,1972296000000,1278176000000
World,OWID_WRL,1985,2081018000000,1367347000000
World,OWID_WRL,1986,2234730000000,1452055000000
World,OWID_WRL,1987,2367532000000,1589467000000
World,OWID_WRL,1988,2524094000000,1705432000000
World,OWID_WRL,1989,2608046000000,1773703000000
World,OWID_WRL,1990,2800844000000,1894245000000
World,OWID_WRL,1991,2779494000000,1845418000000
World,OWID_WRL,1992,2930185000000,1928922000000
World,OWID_WRL,1993,3013411000000,1949421000000
World,OWID_WRL,1994,3169342000000,2099936000000
World,OWID_WRL,1995,3358601000000,2248215000000
World,OWID_WRL,1996,3563774000000,2431695000000
World,OWID_WRL,1997,3727900000000,2573010000000
World,OWID_WRL,1998,3837725000000,2628116000000
World,OWID_WRL,1999,4050783000000,2797803000000
World,OWID_WRL,2000,4504515271586.03,3201366124113.32
World,OWID_WRL,2001,4489444871465.98,3108526506514.03
World,OWID_WRL,2002,4379359487046.53,3124069139046.6
World,OWID_WRL,2003,4443203755337.52,3180302383549.44
World,OWID_WRL,2004,4944362870068.81,3628725019629.91
World,OWID_WRL,2005,5229355276244.14,3919023021200.3
World,OWID_WRL,2006,5500959426295.92,4170556195914.7
World,OWID_WRL,2007,5876065252473.17,4513095886534.66
World,OWID_WRL,2008,6062667139324.1,4608466258169.26
World,OWID_WRL,2009,5948502617837.18,4561413042719.06
World,OWID_WRL,2010,6307072096947.99,4930250015715.44
World,OWID_WRL,2011,6747537000000,5263525000000
World,OWID_WRL,2012,7021134000000,5537024000000
World,OWID_WRL,2013,7349025000000,5841156000000
World,OWID_WRL,2014,7765176000000,6190282000000
World,OWID_WRL,2015,8293327000000,6654454000000
World,OWID_WRL,2016,8901086000000,7146283000000
World,OWID_WRL,2017,9473126000000,7718470000000
World,OWID_WRL,2018,10147668000000,8280851000000
World,OWID_WRL,2019,10516737000000,8664032000000
World,OWID_WRL,2020,4540566000000,2962287000000
World,OWID_WRL,2021,5357978000000,3626024000000
World,OWID_WRL,1929,,170000000
World,OWID_WRL,1930,,270000000
World,OWID_WRL,1931,,330000000
World,OWID_WRL,1932,,405000000
World,OWID_WRL,1933,,545000000
World,OWID_WRL,1934,,650000000
World,OWID_WRL,1935,,920000000
World,OWID_WRL,1936,,1225000000
World,OWID_WRL,1937,,1410000000
World,OWID_WRL,1938,,1685000000
World,OWID_WRL,1939,,2030000000
World,OWID_WRL,1940,,2530000000
World,OWID_WRL,1941,,3280000000
World,OWID_WRL,1942,,3580000000
World,OWID_WRL,1943,,4265000000
World,OWID_WRL,1944,,5490000000
World,OWID_WRL,1945,,8000000000
World,OWID_WRL,1946,,16000000000
World,OWID_WRL,1947,,19000000000
World,OWID_WRL,1948,,21000000000
World,OWID_WRL,1949,,24000000000
