Entity,Code,Year,co2_per_km
Austria,AUT,2001,166.0405543
Austria,AUT,2002,163.9467583
Austria,AUT,2003,163.2174606
Austria,AUT,2004,162.3965748
Austria,AUT,2005,163.6956435
Austria,AUT,2006,161.877698
Austria,AUT,2007,162.0381741
Austria,AUT,2008,159.0665738
Austria,AUT,2009,152.0084463
Austria,AUT,2010,146.5040375
Austria,AUT,2011,141.0088371
Austria,AUT,2012,137.3834747
Austria,AUT,2013,132.0565674
Austria,AUT,2014,128.4700211
Austria,AUT,2015,123.2772514
Austria,AUT,2016,119.8568799
Austria,AUT,2017,119.8978968
Austria,AUT,2018,120.7593606
Austria,AUT,2019,121.8353321
Belgium,BEL,2001,164.8407242
Belgium,BEL,2002,161.2506942
Belgium,BEL,2003,158.0880612
Belgium,BEL,2004,156.3707812
Belgium,BEL,2005,155.3080378
Belgium,BEL,2006,154.0880929
Belgium,BEL,2007,153.0229263
Belgium,BEL,2008,148.0613343
Belgium,BEL,2009,142.9311423
Belgium,BEL,2010,136.2265537
Belgium,BEL,2011,133.1690637
Belgium,BEL,2012,131.7362714
Belgium,BEL,2013,124.1909549
Belgium,BEL,2014,121.2151532
Belgium,BEL,2015,117.477162
Belgium,BEL,2016,115.8115183
Belgium,BEL,2017,115.8106842
Belgium,BEL,2018,118.6179771
Belgium,BEL,2019,119.4582106
Denmark,DNK,2001,174.3094128
Denmark,DNK,2002,170.7603757
Denmark,DNK,2003,171.0443205
Denmark,DNK,2004,170.1926623
Denmark,DNK,2005,166.8186933
Denmark,DNK,2006,165.10924
Denmark,DNK,2007,161.5450727
Denmark,DNK,2008,147.2703909
Denmark,DNK,2009,143.4594198
Denmark,DNK,2010,136.1937781
Denmark,DNK,2011,129.4312632
Denmark,DNK,2012,119.0916719
Denmark,DNK,2013,113.0591582
Denmark,DNK,2014,111.0338802
Denmark,DNK,2015,107.8453897
Denmark,DNK,2016,109.8732437
Denmark,DNK,2017,108.2354557
Denmark,DNK,2018,109.4999245
Denmark,DNK,2019,107.0854129
Finland,FIN,2001,181.1862802
Finland,FIN,2002,180.4835436
Finland,FIN,2003,179.6261385
Finland,FIN,2004,180.9185791
Finland,FIN,2005,180.3426445
Finland,FIN,2006,179.8776891
Finland,FIN,2007,177.90645
Finland,FIN,2008,163.7167437
Finland,FIN,2009,158.478958
Finland,FIN,2010,151.1872065
Finland,FIN,2011,145.7274967
Finland,FIN,2012,140.6193032
Finland,FIN,2013,131.6621064
Finland,FIN,2014,127.3332957
Finland,FIN,2015,124.117749
Finland,FIN,2016,121.0267081
Finland,FIN,2017,119.3814027
Finland,FIN,2018,117.2625072
Finland,FIN,2019,112.1598791
France,FRA,2001,160.0968531
France,FRA,2002,156.4391553
France,FRA,2003,154.8082814
France,FRA,2004,153.0892857
France,FRA,2005,152.370482
France,FRA,2006,149.4601749
France,FRA,2007,149.1599688
France,FRA,2008,140.6343056
France,FRA,2009,134.3119022
France,FRA,2010,132.0575367
France,FRA,2011,128.9464703
France,FRA,2012,125.47727
France,FRA,2013,117.7149386
France,FRA,2014,114.8043716
France,FRA,2015,111.1105197
France,FRA,2016,110.185629
France,FRA,2017,110.6289129
France,FRA,2018,111.3729646
France,FRA,2019,111.8351428
Germany,DEU,2001,178.9234762
Germany,DEU,2002,176.0717963
Germany,DEU,2003,176.48252
Germany,DEU,2004,174.1544978
Germany,DEU,2005,172.1218817
Germany,DEU,2006,172.2014705
Germany,DEU,2007,169.6375161
Germany,DEU,2008,165.8039347
Germany,DEU,2009,155.6187549
Germany,DEU,2010,153.2916067
Germany,DEU,2011,147.4239412
Germany,DEU,2012,142.5809162
Germany,DEU,2013,135.3842414
Germany,DEU,2014,131.5071158
Germany,DEU,2015,127.2171798
Germany,DEU,2016,125.3741058
Germany,DEU,2017,126.2480381
Germany,DEU,2018,127.6430847
Germany,DEU,2019,130.1603501
Greece,GRC,2001,167.1640078
Greece,GRC,2002,167.1445772
Greece,GRC,2003,168.9246788
Greece,GRC,2004,168.3955298
Greece,GRC,2005,167.8149183
Greece,GRC,2006,165.7469512
Greece,GRC,2007,165.1674858
Greece,GRC,2008,160.9603608
Greece,GRC,2009,158.0114051
Greece,GRC,2010,144.9083499
Greece,GRC,2011,135.1740304
Greece,GRC,2012,122.4275582
Greece,GRC,2013,112.421504
Greece,GRC,2014,109.9712064
Greece,GRC,2015,106.0857812
Greece,GRC,2016,106.7223366
Greece,GRC,2017,108.8806829
Greece,GRC,2018,111.8767881
Greece,GRC,2019,114.5265149
Iceland,ISL,2016,123.1189087
Iceland,ISL,2017,118.9533569
Ireland,IRL,2001,169.311945
Ireland,IRL,2002,168.1161775
Ireland,IRL,2003,168.3991197
Ireland,IRL,2004,168.3367502
Ireland,IRL,2005,166.4429171
Ireland,IRL,2006,164.5584166
Ireland,IRL,2007,163.5762411
Ireland,IRL,2008,157.5832528
Ireland,IRL,2009,144.0371879
Ireland,IRL,2010,132.8156918
Ireland,IRL,2011,129.0846941
Ireland,IRL,2012,125.7046408
Ireland,IRL,2013,122.1302226
Ireland,IRL,2014,118.7901496
Ireland,IRL,2015,114.1102453
Ireland,IRL,2016,112.2147967
Ireland,IRL,2017,111.975971
Ireland,IRL,2018,112.8260523
Ireland,IRL,2019,109.6682282
Italy,ITA,2001,158.4855445
Italy,ITA,2002,157.0861475
Italy,ITA,2003,154.6813084
Italy,ITA,2004,149.6929614
Italy,ITA,2005,150.0433359
Italy,ITA,2006,149.1618033
Italy,ITA,2007,147.5706389
Italy,ITA,2008,146.5223531
Italy,ITA,2009,141.0942795
Italy,ITA,2010,136.1480672
Italy,ITA,2011,130.569547
Italy,ITA,2012,126.0488437
Italy,ITA,2013,120.6854856
Italy,ITA,2014,118.2341456
Italy,ITA,2015,115.8686053
Italy,ITA,2016,113.1701109
Italy,ITA,2017,112.5808198
Italy,ITA,2018,114.2532877
Italy,ITA,2019,118.7528439
Luxembourg,LUX,2001,174.6155768
Luxembourg,LUX,2002,172.2235586
Luxembourg,LUX,2003,172.5956966
Luxembourg,LUX,2004,169.4246403
Luxembourg,LUX,2005,167.7425322
Luxembourg,LUX,2006,167.6905543
Luxembourg,LUX,2007,165.9502457
Luxembourg,LUX,2008,159.7254486
Luxembourg,LUX,2009,152.6493529
Luxembourg,LUX,2010,147.250129
Luxembourg,LUX,2011,143.919164
Luxembourg,LUX,2012,138.3330226
Luxembourg,LUX,2013,133.2031419
Luxembourg,LUX,2014,129.4180998
Luxembourg,LUX,2015,127.4191022
Luxembourg,LUX,2016,125.7017842
Luxembourg,LUX,2017,126.0680857
Luxembourg,LUX,2018,130.3489679
Luxembourg,LUX,2019,129.8055917
Netherlands,NLD,2001,173.7460875
Netherlands,NLD,2002,172.1880896
