Entity,Code,Year,Total aviation CO2 (Mt)
Afghanistan,AFG,2018,186355.69182395958
Algeria,DZA,2018,1007307.91568972
Angola,AGO,2018,464122.5625203173
Argentina,ARG,2018,4192798.1888053976
Australia,AUS,2018,19000043.446458437
Austria,AUT,2018,2243474.2026593406
Azerbaijan,AZE,2018,398531.22541351535
Bahrain,BHR,2018,757984.964384599
Bangladesh,BGD,2018,1265870.269741718
Belarus,BLR,2018,255781.4124994884
Belgium,BEL,2018,2701516.499233805
Bolivia,BOL,2018,556317.490424813
Brazil,BRA,2018,14806588.187852409
Brunei,BRN,2018,169969.46674093074
Bulgaria,BGR,2018,681399.3669470897
Cambodia,KHM,2018,609401.8734941245
Canada,CAN,2018,17157561.933038432
Chile,CHL,2018,3149405.2637901166
China,CHN,2018,94911021.7249814
Colombia,COL,2018,3372647.7988832444
Costa Rica,CRI,2018,658477.615945089
Croatia,HRV,2018,567869.0775655768
Cuba,CUB,2018,1265206.122509484
Czechia,CZE,2018,1159226.839452237
Democratic Republic of Congo,COD,2018,187362.14457321746
Denmark,DNK,2018,2559599.6805861723
Ecuador,ECU,2018,748273.6000126774
Egypt,EGY,2018,2582859.8046068656
El Salvador,SLV,2018,423281.47630507365
Ethiopia,ETH,2018,1837767.0287719935
European Union,,2018,141742364.495
Fiji,FJI,2018,387141.1213595225
Finland,FIN,2018,2020476.03626594
France,FRA,2018,19145717.67808719
Georgia,GEO,2018,384029.6597542221
Germany,DEU,2018,22171279.14370449
Greece,GRC,2018,3509140.255431787
Hungary,HUN,2018,878177.5282596828
Iceland,ISL,2018,1205423.2088249538
India,IND,2018,19375875.924739383
Indonesia,IDN,2018,13890827.796681881
Iran,IRN,2018,2794273.5214479812
Iraq,IRQ,2018,610615.4091179926
Ireland,IRL,2018,2771576.73589434
Israel,ISR,2018,2710455.8528586477
Italy,ITA,2018,11890891.834290214
Japan,JPN,2018,23423499.682410717
Jordan,JOR,2018,730691.3924871845
Kazakhstan,KAZ,2018,1307779.5053962944
Kenya,KEN,2018,1522542.8521204412
Kuwait,KWT,2018,1347323.0349366383
Kyrgyzstan,KGZ,2018,240979.23685458273
Latvia,LVA,2018,383922.80705541273
Lebanon,LBN,2018,737030.7799252837
Libya,LBY,2018,85486.1380311507
Luxembourg,LUX,2018,216426.66959108066
Madagascar,MDG,2018,172863.70970165633
Malaysia,MYS,2018,7224667.251265966
Malta,MLT,2018,435329.6094210703
Mauritius,MUS,2018,771053.1973044277
Mexico,MEX,2018,11177031.295419235
Moldova,MDA,2018,172372.85907723595
Mongolia,MNG,2018,107232.76371632417
Morocco,MAR,2018,2055718.316551098
Myanmar,MMR,2018,536258.1881823988
Namibia,NAM,2018,220670.73890490882
Nepal,NPL,2018,547363.4153210219
Netherlands,NLD,2018,8445492.579045093
New Zealand,NZL,2018,3863017.5961842523
Nigeria,NGA,2018,1194545.7720980388
Norway,NOR,2018,2707756.4683774277
Oman,OMN,2018,1489985.5336759924
Pakistan,PAK,2018,1952164.1683651023
Panama,PAN,2018,1899066.5494982156
Papua New Guinea,PNG,2018,262088.10394382032
Peru,PER,2018,2715259.9605818875
Philippines,PHL,2018,5611085.540710605
Poland,POL,2018,2546709.3185150824
Portugal,PRT,2018,4415431.653499549
Qatar,QAT,2018,6879038.791486573
Rest of the World,,2018,18516454.612087388
Romania,ROU,2018,1269213.9606048348
Russia,RUS,2018,16283685.770960076
Rwanda,RWA,2018,153667.05411786673
Saudi Arabia,SAU,2018,7906820.226021405
Serbia,SRB,2018,319841.5166708408
Singapore,SGP,2018,10024887.615849378
South Africa,ZAF,2018,4907610.855196298
South Korea,KOR,2018,12170159.95617171
Spain,ESP,2018,18521076.392253965
Sri Lanka,LKA,2018,1252043.9045164245
Suriname,SUR,2018,94331.15406737119
Sweden,SWE,2018,2837433.266381691
Switzerland,CHE,2018,4409641.38402838
Tajikistan,TJK,2018,190929.19886123476
Thailand,THA,2018,13073069.086097158
Trinidad and Tobago,TTO,2018,212618.01788830286
Tunisia,TUN,2018,695992.9855243182
Turkey,TUR,2018,11927176.954519238
Turkmenistan,TKM,2018,219883.52957556638
Ukraine,UKR,2018,1451682.0833169145
United Arab Emirates,ARE,2018,21142448.53252431
United Kingdom,GBR,2018,29849183.03472104
United States,USA,2018,181905085.80438298
Uzbekistan,UZB,2018,547463.758685119
Venezuela,VEN,2018,434676.6304788163
Vietnam,VNM,2018,5459614.386758976
World,OWID_WRL,2018,746798501.7343464
