Entity,Code,Year,fuel_efficiency_per_km
Austria,AUT,2001,6.467103471
Austria,AUT,2002,6.352749889
Austria,AUT,2003,6.310281078
Austria,AUT,2004,6.287207585
Austria,AUT,2005,6.423411034
Austria,AUT,2006,6.340184716
Austria,AUT,2007,6.37484302
Austria,AUT,2008,6.305435569
Austria,AUT,2009,6.10128962
Austria,AUT,2010,5.882296667
Austria,AUT,2011,5.672130007
Austria,AUT,2012,5.52394829
Austria,AUT,2013,5.323163371
Austria,AUT,2014,5.192724946
Austria,AUT,2015,4.990399263
Austria,AUT,2016,4.898187242
Austria,AUT,2017,4.965058306
Austria,AUT,2018,5.097042479
Austria,AUT,2019,5.306353531
Belgium,BEL,2001,6.465171536
Belgium,BEL,2002,6.31673312
Belgium,BEL,2003,6.15572052
Belgium,BEL,2004,6.076180857
Belgium,BEL,2005,6.019131641
Belgium,BEL,2006,5.961009532
Belgium,BEL,2007,5.90979903
Belgium,BEL,2008,5.725088582
Belgium,BEL,2009,5.576122447
Belgium,BEL,2010,5.340140024
Belgium,BEL,2011,5.260445266
Belgium,BEL,2012,5.246396992
Belgium,BEL,2013,4.962861695
Belgium,BEL,2014,4.876327412
Belgium,BEL,2015,4.749108431
Belgium,BEL,2016,4.74149589
Belgium,BEL,2017,4.78566396
Belgium,BEL,2018,4.9924342
Belgium,BEL,2019,5.093902469
Denmark,DNK,2001,7.172616627
Denmark,DNK,2002,7.028617617
Denmark,DNK,2003,7.008322157
Denmark,DNK,2004,6.949616019
Denmark,DNK,2005,6.802680897
Denmark,DNK,2006,6.719722117
Denmark,DNK,2007,6.472604742
Denmark,DNK,2008,5.908442764
Denmark,DNK,2009,5.768534378
Denmark,DNK,2010,5.494847044
Denmark,DNK,2011,5.255626494
Denmark,DNK,2012,4.895699997
Denmark,DNK,2013,4.702320029
Denmark,DNK,2014,4.654987089
Denmark,DNK,2015,4.589863052
Denmark,DNK,2016,4.609812686
Denmark,DNK,2017,4.536681777
Denmark,DNK,2018,4.705407028
Denmark,DNK,2019,5.375398551
Finland,FIN,2001,7.474018083
Finland,FIN,2002,7.436690373
Finland,FIN,2003,7.419380857
Finland,FIN,2004,7.462611843
Finland,FIN,2005,7.411243138
Finland,FIN,2006,7.366735752
Finland,FIN,2007,7.23719363
Finland,FIN,2008,6.522043466
