Entity,Code,Year,International RPKs (billions)
Afghanistan,AFG,2018,1474967676.2859995
Algeria,DZA,2018,7796012393.70919
Angola,AGO,2018,3835496175.6446004
Argentina,ARG,2018,31561979187.781532
Australia,AUS,2018,144204258017.84125
Austria,AUT,2018,24440562354.202225
Azerbaijan,AZE,2018,4046015316.3962016
Bahrain,BHR,2018,7993660547.728302
Bangladesh,BGD,2018,13814955394.959793
Belarus,BLR,2018,2073893502.069199
Belgium,BEL,2018,32823939856.321735
Bolivia,BOL,2018,2709907327.0934024
Brazil,BRA,2018,70391520278.1586
Brunei,BRN,2018,2116658922.8575997
Bulgaria,BGR,2018,8331319792.349093
Cambodia,KHM,2018,6831276786.706399
Canada,CAN,2018,135027835406.41113
Chile,CHL,2018,22878838632.13218
China,CHN,2018,373603414693.9669
Colombia,COL,2018,22334758272.216137
Costa Rica,CRI,2018,7716158591.405364
Croatia,HRV,2018,5996663812.961291
Cuba,CUB,2018,14756635049.830338
Czechia,CZE,2018,13388286304.308287
Democratic Republic of Congo,COD,2018,1305943046.4569995
Denmark,DNK,2018,27419905380.18715
Ecuador,ECU,2018,6285042151.764748
Egypt,EGY,2018,27723874876.28458
El Salvador,SLV,2018,5121904454.521608
Ethiopia,ETH,2018,19847420658.144
European Union,,2018,891685000000
Fiji,FJI,2018,4158056464.5988016
Finland,FIN,2018,24599008149.004963
France,FRA,2018,175721439821.3285
Georgia,GEO,2018,4234082653.464201
Germany,DEU,2018,234839339907.0597
Greece,GRC,2018,41063675473.39101
Hungary,HUN,2018,11151879441.504536
Iceland,ISL,2018,15066933927.644184
India,IND,2018,108639613118.78595
Indonesia,IDN,2018,56009073709.57256
Iran,IRN,2018,10565273392.635496
Iraq,IRQ,2018,5337549379.301899
Ireland,IRL,2018,32965515878.706944
Israel,ISR,2018,33742456771.155346
Italy,ITA,2018,113837226223.14119
Japan,JPN,2018,171821219593.17856
Jordan,JOR,2018,8175575008.519804
Kazakhstan,KAZ,2018,7046726986.287192
Kenya,KEN,2018,11920063909.318192
Kuwait,KWT,2018,14035915533.574883
Kyrgyzstan,KGZ,2018,2778263346.955001
Latvia,LVA,2018,4300536847.688899
Lebanon,LBN,2018,7715370112.666001
Libya,LBY,2018,672504732.4880004
Luxembourg,LUX,2018,2059810795.0056002
Madagascar,MDG,2018,1536268447.4310014
Malaysia,MYS,2018,68061489002.91987
Malta,MLT,2018,5652841622.011004
Mauritius,MUS,2018,9086920373.092
Mexico,MEX,2018,72758114126.95082
Moldova,MDA,2018,1787416775.5220003
Mongolia,MNG,2018,1029729100.03
Morocco,MAR,2018,24000317441.325207
Myanmar,MMR,2018,3852985111.1889977
Namibia,NAM,2018,1852800259.6229994
Nepal,NPL,2018,5403798030.484192
Netherlands,NLD,2018,105318775750.3509
New Zealand,NZL,2018,36416569918.8098
Nigeria,NGA,2018,8816662003.952473
Norway,NOR,2018,19794727709.87911
Oman,OMN,2018,15746176504.0101
Pakistan,PAK,2018,19478901515.217
Panama,PAN,2018,22103926647.792877
Papua New Guinea,PNG,2018,1052687934.5312008
Peru,PER,2018,22526649424.129044
Philippines,PHL,2018,47382467449.43684
Poland,POL,2018,29529722660.27277
Portugal,PRT,2018,48871781160.924385
Qatar,QAT,2018,80724234985.64857
Rest of the World,,2018,206079725992.96408
Romania,ROU,2018,14711795493.284689
Russia,RUS,2018,84833261697.1543
Rwanda,RWA,2018,1312345698.9715004
Saudi Arabia,SAU,2018,64505244334.04583
Serbia,SRB,2018,3495879968.7549973
Singapore,SGP,2018,119295092642.67331
South Africa,ZAF,2018,37485898502.63856
South Korea,KOR,2018,123001304641.48438
Spain,ESP,2018,203424146649.04034
Sri Lanka,LKA,2018,15746610994.926601
Suriname,SUR,2018,1185349734.5189996
Sweden,SWE,2018,28995605876.199497
Switzerland,CHE,2018,51161359476.825485
Tajikistan,TJK,2018,2582847394.8496
Thailand,THA,2018,130673389733.19005
Trinidad and Tobago,TTO,2018,2221167237.9483085
Tunisia,TUN,2018,7455222949.226205
Turkey,TUR,2018,106975590193.55402
Turkmenistan,TKM,2018,1440756927.6680007
Ukraine,UKR,2018,15507664714.8922
United Arab Emirates,ARE,2018,233210117847.49182
United Kingdom,GBR,2018,338340822862.87006
United States,USA,2018,648196032267.6416
Uzbekistan,UZB,2018,5820692812.647799
Venezuela,VEN,2018,3288998066.803888
Vietnam,VNM,2018,42929129971.49131
World,OWID_WRL,2018,5296972234676.963
