Entity,Code,Year,Per capita domestic aviation CO2
Afghanistan,AFG,2018,1.4889831886327847
Algeria,DZA,2018,4.426574933401561
Angola,AGO,2018,2.2125202581165215
Argentina,ARG,2018,34.833742154553825
Australia,AUS,2018,267.16724250943844
Austria,AUT,2018,3.6903228740599165
Azerbaijan,AZE,2018,0.27529438538681067
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,0.9233643916846934
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,27.093970519246444
Brazil,BRA,2018,42.85892023387701
Brunei,BRN,2018,0
Bulgaria,BGR,2018,2.6575853023188984
Cambodia,KHM,2018,2.112523937961103
Canada,CAN,2018,168.26738009232804
Chile,CHL,2018,70.45835435034336
China,CHN,2018,45.20531061998476
Colombia,COL,2018,30.824329294385713
Costa Rica,CRI,2018,1.3612839504082526
Croatia,HRV,2018,8.119856779196793
Cuba,CUB,2018,3.6417137593837183
Czechia,CZE,2018,0.23274673527883896
Democratic Republic of Congo,COD,2018,0.8022999143161091
Denmark,DNK,2018,32.00817489568846
Ecuador,ECU,2018,12.56045892547854
Egypt,EGY,2018,1.5848542515806094
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,1.1112293172921643
Fiji,FJI,2018,52.36095239415354
Finland,FIN,2018,37.48191876987539
France,FRA,2018,69.66660845347818
Georgia,GEO,2018,0.13126838308345498
Germany,DEU,2018,18.37714306555416
Greece,GRC,2018,38.81752516062027
Hungary,HUN,2018,0.019400153650784176
Iceland,ISL,2018,71.32386138474779
India,IND,2018,7.972188591504297
Indonesia,IDN,2018,34.39137575863946
Iran,IRN,2018,21.382574185233594
Iraq,IRQ,2018,1.5838034671217835
Ireland,IRL,2018,1.0090622075803282
Israel,ISR,2018,6.816726727342641
Italy,ITA,2018,37.13227462296512
Japan,JPN,2018,73.95850162323113
Jordan,JOR,2018,0.5201365849548262
Kazakhstan,KAZ,2018,34.504818837782025
Kenya,KEN,2018,7.09984541457343
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,3.9134795819368375
Latvia,LVA,2018,0.38686121895319214
Lebanon,LBN,2018,0
Libya,LBY,2018,1.7156717291170525
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,1.0438529437536337
Malaysia,MYS,2018,60.28701713377644
Malta,MLT,2018,0
Mauritius,MUS,2018,8.748151991033938
Mexico,MEX,2018,39.930935359949856
Moldova,MDA,2018,0
Mongolia,MNG,2018,4.016521945032791
Morocco,MAR,2018,1.8507783841222545
Myanmar,MMR,2018,3.6646632116819
Namibia,NAM,2018,11.4851819778341
Nepal,NPL,2018,3.864737696028576
Netherlands,NLD,2018,27.699046834701058
New Zealand,NZL,2018,174.18853700189754
Nigeria,NGA,2018,1.9828563838275681
Norway,NOR,2018,209.23018225393247
Oman,OMN,2018,19.102660483630483
Pakistan,PAK,2018,1.5634297102392773
Panama,PAN,2018,7.718043120096337
Papua New Guinea,PNG,2018,20.126236419076644
Peru,PER,2018,29.49943120094206
Philippines,PHL,2018,16.182882717100373
Poland,POL,2018,2.8021110309228283
Portugal,PRT,2018,42.95099481404
Qatar,QAT,2018,0
Romania,ROU,2018,4.3931877656806115
Russia,RUS,2018,63.34202790210368
Rwanda,RWA,2018,0.14288784887784176
Saudi Arabia,SAU,2018,65.24327004638248
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,25.087300861671544
South Korea,KOR,2018,27.65079117740549
Spain,ESP,2018,61.58183005811488
Sri Lanka,LKA,2018,0.45212922453471666
Suriname,SUR,2018,0
Sweden,SWE,2018,54.7724798428455
Switzerland,CHE,2018,3.9147769322546746
Tajikistan,TJK,2018,0.04323805148041865
Thailand,THA,2018,37.252982876082044
Trinidad and Tobago,TTO,2018,16.56537099396172
Tunisia,TUN,2018,1.413515267115724
Turkey,TUR,2018,42.41700059022032
Turkmenistan,TKM,2018,12.910550631182755
Ukraine,UKR,2018,1.5921549106481494
United Arab Emirates,ARE,2018,0.13782326081826723
United Kingdom,GBR,2018,22.481697067492195
United States,USA,2018,385.52039683762564
Uzbekistan,UZB,2018,1.6709786163923386
Venezuela,VEN,2018,4.189343718706577
Vietnam,VNM,2018,23.58988392261504
World,OWID_WRL,2018,39.72629621861785
