Entity,Code,Year,Per capita international aviation CO2
Afghanistan,AFG,2018,3.524351897560037
Algeria,DZA,2018,19.427453571138553
Angola,AGO,2018,12.851503192721431
Argentina,ARG,2018,59.68166977947377
Australia,AUS,2018,495.94800556102655
Austria,AUT,2018,248.6405963318045
Azerbaijan,AZE,2018,39.7780951034087
Bahrain,BHR,2018,483.1006783840657
Bangladesh,BGD,2018,6.920816207131511
Belarus,BLR,2018,27.058226224424878
Belgium,BEL,2018,235.28274684147408
Bolivia,BOL,2018,21.907834327473633
Brazil,BRA,2018,27.827380618959523
Brunei,BRN,2018,396.19922317233267
Bulgaria,BGR,2018,93.96739583028031
Cambodia,KHM,2018,35.38912981552349
Canada,CAN,2018,294.5124427812642
Chile,CHL,2018,97.69826179521256
China,CHN,2018,21.275377704435122
Colombia,COL,2018,37.08907959555297
Costa Rica,CRI,2018,130.36058361212204
Croatia,HRV,2018,128.51851607103822
Cuba,CUB,2018,107.94817180328025
Czechia,CZE,2018,108.45156223267887
Democratic Republic of Congo,COD,2018,1.426397623072879
Denmark,DNK,2018,412.984815470475
Ecuador,ECU,2018,31.239213283177357
Egypt,EGY,2018,24.657320468069738
El Salvador,SLV,2018,65.92142599362616
Ethiopia,ETH,2018,15.714441128507232
Fiji,FJI,2018,386.07746364154576
Finland,FIN,2018,328.3475283179283
France,FRA,2018,224.92368371139372
Georgia,GEO,2018,95.80419495796629
Germany,DEU,2018,248.3482207728618
Greece,GRC,2018,294.6875361805494
Hungary,HUN,2018,90.43976015327985
Iceland,ISL,2018,3505.5996069385565
India,IND,2018,6.352278072376452
Indonesia,IDN,2018,17.503776803725003
Iran,IRN,2018,12.777248815352978
Iraq,IRQ,2018,14.303572531160793
Ireland,IRL,2018,574.1261807669663
Israel,ISR,2018,316.54951675376543
Italy,ITA,2018,158.99967705351918
Japan,JPN,2018,110.1856131108982
Jordan,JOR,2018,72.80564289193272
Kazakhstan,KAZ,2018,36.88052534323842
Kenya,KEN,2018,22.525645452284724
Kuwait,KWT,2018,325.67634395374387
Kyrgyzstan,KGZ,2018,34.312922203371336
Latvia,LVA,2018,198.7432254280451
Lebanon,LBN,2018,107.45455313096424
Libya,LBY,2018,11.083570377658017
Luxembourg,LUX,2018,358.3223006474845
Madagascar,MDG,2018,5.53842219529352
Malaysia,MYS,2018,168.86380915606009
Malta,MLT,2018,991.6392014147386
Mauritius,MUS,2018,599.8179074441892
Mexico,MEX,2018,48.641397812932794
Moldova,MDA,2018,42.540192269801565
Mongolia,MNG,2018,29.810848312482722
Morocco,MAR,2018,55.20654534262837
Myanmar,MMR,2018,6.32003530962589
Namibia,NAM,2018,78.65809371861558
Nepal,NPL,2018,15.617160628324427
Netherlands,NLD,2018,467.34741149150597
New Zealand,NZL,2018,640.2785927017188
Nigeria,NGA,2018,4.115654009586374
Norway,NOR,2018,298.0303026425508
Oman,OMN,2018,289.44683913865
Pakistan,PAK,2018,7.634999188704794
Panama,PAN,2018,446.9304006190024
Papua New Guinea,PNG,2018,10.327877448436755
Peru,PER,2018,55.38162042873963
Philippines,PHL,2018,36.42877156378404
Poland,POL,2018,64.35440282686639
Portugal,PRT,2018,387.5708122744496
Qatar,QAT,2018,2472.695467824074
Romania,ROU,2018,60.674686765480814
Russia,RUS,2018,48.393639622016146
Rwanda,RWA,2018,12.348337489918023
Saudi Arabia,SAU,2018,169.35959100519764
Serbia,SRB,2018,36.33324056240382
Singapore,SGP,2018,1741.0364042808924
South Africa,ZAF,2018,59.82974541030428
South Korea,KOR,2018,210.17770792702095
Spain,ESP,2018,335.07455081811844
Sri Lanka,LKA,2018,58.52586806767991
Suriname,SUR,2018,163.76936470029722
Sweden,SWE,2018,229.7675589038143
Switzerland,CHE,2018,513.2845409223523
Tajikistan,TJK,2018,20.935687216208272
Thailand,THA,2018,151.04380064205415
Trinidad and Tobago,TTO,2018,136.39723180337847
Tunisia,TUN,2018,58.7674605672395
Turkey,TUR,2018,102.43576786398465
Turkmenistan,TKM,2018,24.669953483595304
Ukraine,UKR,2018,31.21718566967356
United Arab Emirates,ARE,2018,2195.1117388328703
United Kingdom,GBR,2018,422.08627878549163
United States,USA,2018,170.60100423234462
Uzbekistan,UZB,2018,15.186508718412407
Venezuela,VEN,2018,10.858138902500759
Vietnam,VNM,2018,33.55132959505159
World,OWID_WRL,2018,58.13631374918678
