Entity,Code,Year,Per capita international CO2 - adjusted
Algeria,DZA,2018,41.01920005046567
Angola,AGO,2018,1.8359290275316331
Argentina,ARG,2018,95.68668750295923
Australia,AUS,2018,611.6477511802277
Austria,AUT,2018,95.8786411672778
Azerbaijan,AZE,2018,59.20636335368732
Bahrain,BHR,2018,115.02970075595688
Bangladesh,BGD,2018,68.27291663791895
Belarus,BLR,2018,1.9667417684164985
Belgium,BEL,2018,337.9464215516644
Bolivia,BOL,2018,20.33476741429251
Brazil,BRA,2018,44.668388644963265
Bulgaria,BGR,2018,67.88391940764024
Cambodia,KHM,2018,11.385472340262757
Canada,CAN,2018,362.7823612626408
Chile,CHL,2018,65.29719576562783
China,CHN,2018,50.64148727993683
Colombia,COL,2018,41.497207908139174
Costa Rica,CRI,2018,46.62216430808077
Croatia,HRV,2018,15.890123525034346
Cuba,CUB,2018,24.27815486594529
Czechia,CZE,2018,75.53077418711683
Democratic Republic of Congo,COD,2018,1.7230558181849023
Denmark,DNK,2018,242.1414617336105
Ecuador,ECU,2018,17.27707180395055
Egypt,EGY,2018,15.82649486333735
El Salvador,SLV,2018,49.52065626421568
Ethiopia,ETH,2018,19.174501560472127
Fiji,FJI,2018,77.21549272830916
Finland,FIN,2018,962.4330467135304
France,FRA,2018,67.77273262363641
Georgia,GEO,2018,74.47633234277052
Germany,DEU,2018,693.300392971579
Greece,GRC,2018,77.8809373413456
Hungary,HUN,2018,44.56549028975146
Iceland,ISL,2018,999.1213147175338
India,IND,2018,9.587298639224656
Indonesia,IDN,2018,10.482337683596985
Iran,IRN,2018,12.68617041392757
Ireland,IRL,2018,454.16186897024437
Israel,ISR,2018,650.8430127286227
Italy,ITA,2018,86.12017650098444
Japan,JPN,2018,66.95492789510018
Jordan,JOR,2018,26.332836139949645
Kazakhstan,KAZ,2018,59.57488935122833
Kuwait,KWT,2018,192.48474679461566
Kyrgyzstan,KGZ,2018,554.7661346308665
Latvia,LVA,2018,139.71260657017766
Libya,LBY,2018,144.0864149095542
Luxembourg,LUX,2018,700.1012337798102
Madagascar,MDG,2018,2.87997954155263
Malaysia,MYS,2018,330.7915451473963
Malta,MLT,2018,254.49147646926917
Mauritius,MUS,2018,126.90929278304505
Mexico,MEX,2018,23.25104262604499
Moldova,MDA,2018,70.19131724517258
Morocco,MAR,2018,8.6387978431015
Nepal,NPL,2018,19.886958800111003
Netherlands,NLD,2018,550.3401493681924
New Zealand,NZL,2018,527.7174076581177
Norway,NOR,2018,424.9342043655216
Oman,OMN,2018,421.4023950953835
Panama,PAN,2018,170.5095814126278
Papua New Guinea,PNG,2018,17.595643060299654
Peru,PER,2018,38.57538530881661
Philippines,PHL,2018,34.8170410974125
Poland,POL,2018,41.98024442890071
Portugal,PRT,2018,59.526815724347074
Romania,ROU,2018,108.9193459777262
Russia,RUS,2018,82.71722915963852
Saudi Arabia,SAU,2018,241.50364007562615
Singapore,SGP,2018,1173.3871056998396
South Korea,KOR,2018,392.99273517129035
Spain,ESP,2018,77.38374969421372
Sri Lanka,LKA,2018,37.01121733842997
Sweden,SWE,2018,691.5827630629125
Switzerland,CHE,2018,757.1467099013854
Tajikistan,TJK,2018,0.6270592306303926
Thailand,THA,2018,39.428532589415674
Trinidad and Tobago,TTO,2018,95.97021722248022
Tunisia,TUN,2018,17.809394303724225
Turkey,TUR,2018,18.76243318484057
Turkmenistan,TKM,2018,114.3241746800758
Ukraine,UKR,2018,61.555668651396154
United Arab Emirates,ARE,2018,1949.4687734142904
United Kingdom,GBR,2018,818.0682018558106
United States,USA,2018,198.02281239921425
Venezuela,VEN,2018,27.43777956861433
World,OWID_WRL,2018,63.03904987981881
