Entity,Code,Year,Per capita total RPKs
Afghanistan,AFG,2018,49.06514711842246
Algeria,DZA,2018,215.81644754038052
Angola,AGO,2018,137.71578222192798
Argentina,ARG,2018,1072.9565779098202
Australia,AUS,2018,8856.072001359194
Austria,AUT,2018,2771.4427051871808
Azerbaijan,AZE,2018,407.99336847399
Bahrain,BHR,2018,5094.748596385151
Bangladesh,BGD,2018,90.64975881617494
Belarus,BLR,2018,219.38998223518448
Belgium,BEL,2018,2858.7301738653314
Bolivia,BOL,2018,386.16825142186076
Brazil,BRA,2018,791.976291650885
Brunei,BRN,2018,4933.936883117948
Bulgaria,BGR,2018,1196.383363113598
Cambodia,KHM,2018,432.6196731586707
Canada,CAN,2018,5344.007244996945
Chile,CHL,2018,2042.8721985396007
China,CHN,2018,799.5871134376031
Colombia,COL,2018,686.6054577820852
Costa Rica,CRI,2018,1545.1246261939916
Croatia,HRV,2018,1486.9560016500218
Cuba,CUB,2018,1327.9812476899222
Czechia,CZE,2018,1256.4451723234845
Democratic Republic of Congo,COD,2018,22.876106512775372
Denmark,DNK,2018,5005.732591305137
Ecuador,ECU,2018,467.4725183225678
Egypt,EGY,2018,291.15943220247686
El Salvador,SLV,2018,797.680182918799
Ethiopia,ETH,2018,189.3042436023127
Fiji,FJI,2018,5294.844112798756
Finland,FIN,2018,4816.754099384947
France,FRA,2018,3391.773612089805
Georgia,GEO,2018,1058.2239549428432
Germany,DEU,2018,2973.712996211848
Greece,GRC,2018,4166.839664006786
Hungary,HUN,2018,1148.8205869330586
Iceland,ISL,2018,44976.49987796494
India,IND,2018,172.66071412863124
Indonesia,IDN,2018,532.0810913520166
Iran,IRN,2018,271.288668983955
Iraq,IRQ,2018,146.8597589808893
Ireland,IRL,2018,6847.343216638087
Israel,ISR,2018,4062.5598803654675
Italy,ITA,2018,2242.5751001392227
Japan,JPN,2018,2101.5008841564895
Jordan,JOR,2018,822.7530969202011
Kazakhstan,KAZ,2018,634.9497348585805
Kenya,KEN,2018,262.9346951568734
Kuwait,KWT,2018,3392.7762952803682
Kyrgyzstan,KGZ,2018,460.9879612073288
Latvia,LVA,2018,2232.2460447701756
Lebanon,LBN,2018,1124.8534936092726
Libya,LBY,2018,113.43571115226835
Luxembourg,LUX,2018,3410.28277318808
Madagascar,MDG,2018,66.17750980595541
Malaysia,MYS,2018,2795.3271821347334
Malta,MLT,2018,12876.632396380419
Mauritius,MUS,2018,7256.857632432517
Mexico,MEX,2018,954.9688164253333
Moldova,MDA,2018,441.1196385789734
Mongolia,MNG,2018,353.75824013312297
Morocco,MAR,2018,677.1784736652198
Myanmar,MMR,2018,100.8793613210136
Namibia,NAM,2018,798.4432533296566
Nepal,NPL,2018,208.1173753660376
Netherlands,NLD,2018,6545.9784178986465
New Zealand,NZL,2018,9293.442469283113
Nigeria,NGA,2018,54.6029850770777
Norway,NOR,2018,5383.989863905768
Oman,OMN,2018,3423.3786651480846
Pakistan,PAK,2018,108.86756987812166
Panama,PAN,2018,5322.06044740744
Papua New Guinea,PNG,2018,238.76406910564722
Peru,PER,2018,976.5226585129586
Philippines,PHL,2018,594.495367523388
Poland,POL,2018,794.4283453865744
Portugal,PRT,2018,5190.790073282311
Qatar,QAT,2018,29016.61933344665
Romania,ROU,2018,782.4699516967952
Russia,RUS,2018,1273.968789028838
Rwanda,RWA,2018,107.14766656539591
Saudi Arabia,SAU,2018,2484.8328695427863
Serbia,SRB,2018,397.1237042775187
Singapore,SGP,2018,20718.147384972788
South Africa,ZAF,2018,868.0760411596831
South Korea,KOR,2018,2616.9866323547913
Spain,ESP,2018,4975.393085368813
Sri Lanka,LKA,2018,742.2374955397146
Suriname,SUR,2018,2057.8988446510407
Sweden,SWE,2018,3351.7793105520454
Switzerland,CHE,2018,6022.894484121685
Tajikistan,TJK,2018,284.01077888601253
Thailand,THA,2018,2213.1268797103044
Trinidad and Tobago,TTO,2018,1644.5385216059774
Tunisia,TUN,2018,653.187524805984
Turkey,TUR,2018,1708.315086475741
Turkmenistan,TKM,2018,327.34503747872174
Ukraine,UKR,2018,360.3118858285088
United Arab Emirates,ARE,2018,24214.723802960052
United Kingdom,GBR,2018,5218.103971720563
United States,USA,2018,6040.2122511423
Uzbekistan,UZB,2018,191.94988871067244
Venezuela,VEN,2018,135.41840730397368
Vietnam,VNM,2018,720.7155854409742
World,OWID_WRL,2018,1114.2117943659039
