Entity,Code,Year,"Railways, passengers carried (million passenger-km)"
Albania,ALB,1995,197000000
Albania,ALB,1996,168000000
Albania,ALB,1997,95000000
Albania,ALB,1998,116000000
Albania,ALB,1999,121000000
Albania,ALB,2000,125000000
Albania,ALB,2001,138000000
Albania,ALB,2002,123000000
Albania,ALB,2003,105000000
Albania,ALB,2004,89000000
Albania,ALB,2005,73000000
Albania,ALB,2006,80000000
Albania,ALB,2007,51000000
Albania,ALB,2008,41000000
Albania,ALB,2009,32000000
Albania,ALB,2010,19000000
Albania,ALB,2011,18000000
Albania,ALB,2012,16000000
Albania,ALB,2013,12000000
Albania,ALB,2014,7714000
Albania,ALB,2015,6990000
Albania,ALB,2016,3200000
Albania,ALB,2017,2400000
Albania,ALB,2018,2700000
Albania,ALB,2019,2000000
Albania,ALB,2020,593000
Albania,ALB,2021,812000
Algeria,DZA,1995,1797000000
Algeria,DZA,1996,1826000000
Algeria,DZA,1997,1360000000
Algeria,DZA,1998,1163000000
Algeria,DZA,1999,1069000000
Algeria,DZA,2000,1142000000
Algeria,DZA,2001,981000000
Algeria,DZA,2002,954868000
Algeria,DZA,2003,964000000
Algeria,DZA,2004,950000000
Algeria,DZA,2005,929000000
Algeria,DZA,2006,821000000
Algeria,DZA,2007,757531000
Algeria,DZA,2008,937081000
Algeria,DZA,2009,1141000000
Algeria,DZA,2010,1045000000
Algeria,DZA,2011,1040000000
Algeria,DZA,2012,1141000000
Algeria,DZA,2014,1186000000
Algeria,DZA,2015,1269000000
Algeria,DZA,2016,1337000000
Algeria,DZA,2017,1550000000
Algeria,DZA,2018,1602000000
Algeria,DZA,2019,1454000000
Algeria,DZA,2020,348000000
Argentina,ARG,2005,8640763000
Argentina,ARG,2006,9052391000
Argentina,ARG,2007,8715438000
Argentina,ARG,2008,9237511000
Argentina,ARG,2009,9108061000
Argentina,ARG,2010,8817872000
Argentina,ARG,2011,7287933600
Argentina,ARG,2012,6002517600
Argentina,ARG,2013,5035002000
Argentina,ARG,2014,5733577000
Argentina,ARG,2015,6883565400
Argentina,ARG,2016,8065368700
Argentina,ARG,2017,8360781999.999999
Armenia,ARM,1997,84000000
Armenia,ARM,1998,52000000
Armenia,ARM,1999,46000000
Armenia,ARM,2000,47000000
Armenia,ARM,2001,47000000
Armenia,ARM,2002,48000000
Armenia,ARM,2003,41000000
Armenia,ARM,2004,30000000
Armenia,ARM,2005,27000000
Armenia,ARM,2006,28000000
Armenia,ARM,2007,24000000
Armenia,ARM,2008,24000000
Armenia,ARM,2009,35000000
Armenia,ARM,2010,50000000
Armenia,ARM,2011,49000000
Armenia,ARM,2012,53000000
Armenia,ARM,2013,55000000
Armenia,ARM,2014,52000000
Armenia,ARM,2015,44000000
Armenia,ARM,2016,50000000
Armenia,ARM,2017,55000000
Australia,AUS,1995,10344506000
Australia,AUS,1996,10696252000
Australia,AUS,1997,10976875000
Australia,AUS,1998,10950919000
Australia,AUS,1999,11164804000
Australia,AUS,2000,11552162000
Australia,AUS,2001,12149625000
Australia,AUS,2002,12005657000
Australia,AUS,2003,12021773000
Australia,AUS,2004,12087047000
Australia,AUS,2005,12062894000
Australia,AUS,2006,12590874000
Australia,AUS,2007,13212731000
