Entity,Code,Year,% global total CO2
Afghanistan,AFG,2018,0.024953945594584317
Algeria,DZA,2018,0.13488349445672068
Angola,AGO,2018,0.06214829856279178
Argentina,ARG,2018,0.5614363418068123
Australia,AUS,2018,2.5441994597382305
Austria,AUT,2018,0.3004122527628472
Azerbaijan,AZE,2018,0.05336529525541044
Bahrain,BHR,2018,0.10149792248166992
Bangladesh,BGD,2018,0.1695062679962389
Belarus,BLR,2018,0.034250391759687256
Belgium,BEL,2018,0.3617463737487248
Bolivia,BOL,2018,0.07449365379454231
Brazil,BRA,2018,1.9826751330467265
Brunei,BRN,2018,0.02275974929598786
Bulgaria,BGR,2018,0.09124273353048042
Cambodia,KHM,2018,0.08160191431542307
Canada,CAN,2018,2.297482104368466
Chile,CHL,2018,0.4217208867553987
China,CHN,2018,12.70905358065963
Colombia,COL,2018,0.45161416246158653
Costa Rica,CRI,2018,0.08817339810080725
Croatia,HRV,2018,0.07604046824501814
Cuba,CUB,2018,0.16941733540857415
Czechia,CZE,2018,0.15522618708528169
Democratic Republic of Congo,COD,2018,0.0250887145780411
Denmark,DNK,2018,0.3427430122907078
Ecuador,ECU,2018,0.10019752292953257
Egypt,EGY,2018,0.34585765753526504
El Salvador,SLV,2018,0.05667947583210937
Ethiopia,ETH,2018,0.2460860626399235
European Union,,2018,18.980001187177137
Fiji,FJI,2018,0.051840104186127264
Finland,FIN,2018,0.27055169922993105
France,FRA,2018,2.563705957312937
Georgia,GEO,2018,0.05142346414225004
Germany,DEU,2018,2.9688435491252942
Greece,GRC,2018,0.46989117510041156
Hungary,HUN,2018,0.11759229915703168
Iceland,ISL,2018,0.16141210862441593
India,IND,2018,2.5945252808811654
Indonesia,IDN,2018,1.860050303317718
Iran,IRN,2018,0.3741669961788394
Iraq,IRQ,2018,0.08176441271640403
Ireland,IRL,2018,0.37112778473145025
Israel,ISR,2018,0.3629433972569512
Italy,ITA,2018,1.5922490212118934
Japan,JPN,2018,3.1365220508627916
Jordan,JOR,2018,0.09784317868745651
Kazakhstan,KAZ,2018,0.17511812120125306
Kenya,KEN,2018,0.20387599179491198
Kuwait,KWT,2018,0.18041319469812123
Kyrgyzstan,KGZ,2018,0.03226830748788844
Latvia,LVA,2018,0.05140915603925289
Lebanon,LBN,2018,0.09869205390927029
Libya,LBY,2018,0.011447015203246902
Luxembourg,LUX,2018,0.028980597723275655
Madagascar,MDG,2018,0.023147302692788207
Malaysia,MYS,2018,0.9674185519236553
Malta,MLT,2018,0.05829278023590991
Mauritius,MUS,2018,0.1032478232767946
Mexico,MEX,2018,1.4966595767749902
Moldova,MDA,2018,0.023081575375006984
Mongolia,MNG,2018,0.014358995561358182
Morocco,MAR,2018,0.2752708142526999
Myanmar,MMR,2018,0.07180761436143834
Namibia,NAM,2018,0.02954889952141422
Nepal,NPL,2018,0.0732946590077295
Netherlands,NLD,2018,1.1308930801858186
New Zealand,NZL,2018,0.51727709512176
Nigeria,NGA,2018,0.15995556623692408
Norway,NOR,2018,0.36258193637092223
Oman,OMN,2018,0.19951640639552531
Pakistan,PAK,2018,0.2614044034410145
Panama,PAN,2018,0.2542943705816054
Papua New Guinea,PNG,2018,0.035094888826792424
Peru,PER,2018,0.3635866909582753
Philippines,PHL,2018,0.7513520082966904
Poland,POL,2018,0.3410169292788708
Portugal,PRT,2018,0.5912480599847564
Qatar,QAT,2018,0.921137197719447
Rest of the World,,2018,2.4794445314344493
Romania,ROU,2018,0.16995400468228633
Russia,RUS,2018,2.18046577934252
Rwanda,RWA,2018,0.020576775898852796
Saudi Arabia,SAU,2018,1.0587621972538512
Serbia,SRB,2018,0.042828355430286597
Singapore,SGP,2018,1.3423818597075154
South Africa,ZAF,2018,0.6571532808112208
South Korea,KOR,2018,1.6296443991127503
Spain,ESP,2018,2.4800634105774284
Sri Lanka,LKA,2018,0.16765484954893572
Suriname,SUR,2018,0.01263140644341129
Sweden,SWE,2018,0.37994629873950025
Switzerland,CHE,2018,0.590472714365058
Tajikistan,TJK,2018,0.025566360727535677
Thailand,THA,2018,1.7505483816232341
Trinidad and Tobago,TTO,2018,0.028470600489224878
Tunisia,TUN,2018,0.09319689098303778
Turkey,TUR,2018,1.5971077776428126
Turkmenistan,TKM,2018,0.02944348831243158
Ukraine,UKR,2018,0.19438738561279437
United Arab Emirates,ARE,2018,2.831078059667181
United Kingdom,GBR,2018,3.996952720901293
United States,USA,2018,24.35798751362398
Uzbekistan,UZB,2018,0.07330809547872724
Venezuela,VEN,2018,0.0582053431373167
Vietnam,VNM,2018,0.7310692742526536
World,OWID_WRL,2018,99.99999999999997
