Entity,Code,Year,% global international RPKs
Afghanistan,AFG,2018,0.017347148956559602
Algeria,DZA,2018,0.09168918779385851
Angola,AGO,2018,0.0451094112440199
Argentina,ARG,2018,0.3712015952193089
Australia,AUS,2018,1.6959915693234444
Austria,AUT,2018,0.28744635055868134
Azerbaijan,AZE,2018,0.047585334582231985
Bahrain,BHR,2018,0.0940137349848803
Bangladesh,BGD,2018,0.1624781972633043
Belarus,BLR,2018,0.024391137567857855
Belgium,BEL,2018,0.38604356094265924
Bolivia,BOL,2018,0.03187131949896803
Brazil,BRA,2018,0.8278772526179281
Brunei,BRN,2018,0.02489410325079021
Bulgaria,BGR,2018,0.09798495774939904
Cambodia,KHM,2018,0.08034289692427517
Canada,CAN,2018,1.5880673263124718
Chile,CHL,2018,0.26907886056462355
China,CHN,2018,4.393963467521359
Colombia,COL,2018,0.2626799114896392
Costa Rica,CRI,2018,0.09075002429517072
Croatia,HRV,2018,0.07052698311856395
Cuba,CUB,2018,0.17355332623394998
Czechia,CZE,2018,0.1574601264338956
Democratic Republic of Congo,COD,2018,0.015359244083719211
Denmark,DNK,2018,0.32248651319776145
Ecuador,ECU,2018,0.07391861134167543
Egypt,EGY,2018,0.3260615095938384
El Salvador,SLV,2018,0.06023890620951086
Ethiopia,ETH,2018,0.23342624255147573
European Union,,2018,10.487140000436549
Fiji,FJI,2018,0.048903054636971414
Finland,FIN,2018,0.28930983736464616
France,FRA,2018,2.0666663008624764
Georgia,GEO,2018,0.0497972014335768
Germany,DEU,2018,2.761954092774287
Greece,GRC,2018,0.4829513938464188
Hungary,HUN,2018,0.13115766326791206
Iceland,ISL,2018,0.1772027627206153
India,IND,2018,1.2777144758182217
Indonesia,IDN,2018,0.6587247708406638
Iran,IRN,2018,0.12425856800490717
Iraq,IRQ,2018,0.06277511408174659
Ireland,IRL,2018,0.3877086417362788
Israel,ISR,2018,0.39684627207790224
Italy,ITA,2018,1.338843794236135
Japan,JPN,2018,2.0207956676622514
Jordan,JOR,2018,0.09615323763259155
Kazakhstan,KAZ,2018,0.08287681462629524
Kenya,KEN,2018,0.14019230897813784
Kuwait,KWT,2018,0.16507691756046342
Kyrgyzstan,KGZ,2018,0.03267525715650539
Latvia,LVA,2018,0.05057877165002163
Lebanon,LBN,2018,0.09074075096778822
Libya,LBY,2018,0.00790935283262339
Luxembourg,LUX,2018,0.024225510333396025
Madagascar,MDG,2018,0.01806810957508784
Malaysia,MYS,2018,0.8004736693022683
Malta,MLT,2018,0.06648327771614888
Mauritius,MUS,2018,0.10687160390208973
Mexico,MEX,2018,0.8557108497026116
Moldova,MDA,2018,0.021021874276261326
Mongolia,MNG,2018,0.012110681725652151
Morocco,MAR,2018,0.2822686139859889
Myanmar,MMR,2018,0.04531509925661707
Namibia,NAM,2018,0.021790851831657566
Nepal,NPL,2018,0.06355426689892843
Netherlands,NLD,2018,1.2386579856883446
New Zealand,NZL,2018,0.4282966149192198
Nigeria,NGA,2018,0.10369308530700755
Norway,NOR,2018,0.23280651885365672
Oman,OMN,2018,0.18519135958229466
Pakistan,PAK,2018,0.22909207539074478
Panama,PAN,2018,0.25996509228571074
Papua New Guinea,PNG,2018,0.012380701420567896
Peru,PER,2018,0.2649367503676686
Philippines,PHL,2018,0.5572669381097267
Poland,POL,2018,0.34730015163689426
Portugal,PRT,2018,0.57478281131264
Qatar,QAT,2018,0.9494006893943876
Rest of the World,,2018,2.4237112183560394
Romania,ROU,2018,0.1730259665642777
Russia,RUS,2018,0.9977271033063564
Rwanda,RWA,2018,0.015434545914852084
Saudi Arabia,SAU,2018,0.7586485452749624
Serbia,SRB,2018,0.041115172574457785
Singapore,SGP,2018,1.403033961442396
South Africa,ZAF,2018,0.4408730276267126
South Korea,KOR,2018,1.4466228567393107
Spain,ESP,2018,2.392478852260407
Sri Lanka,LKA,2018,0.1851964696459049
Suriname,SUR,2018,0.013940941717513517
Sweden,SWE,2018,0.34101838454295486
Switzerland,CHE,2018,0.6017106258893331
Tajikistan,TJK,2018,0.030376962974089015
Thailand,THA,2018,1.5368545309874806
Trinidad and Tobago,TTO,2018,0.026123229378925143
Tunisia,TUN,2018,0.08768115063391517
Turkey,TUR,2018,1.258143841142475
Turkmenistan,TKM,2018,0.016944795086889602
Ukraine,UKR,2018,0.18238621367961153
United Arab Emirates,ARE,2018,2.74279275235644
United Kingdom,GBR,2018,3.979238831230559
United States,USA,2018,7.623457317458791
Uzbekistan,UZB,2018,0.06845738172759688
Venezuela,VEN,2018,0.03868202693522659
Vietnam,VNM,2018,0.504891072641085
World,OWID_WRL,2018,62.2978847950594
