Entity,Code,Year,Total RPKs (billions)
Afghanistan,AFG,2018,1823849648.6859996
Algeria,DZA,2018,9113496946.73519
Angola,AGO,2018,4243023250.2576003
Argentina,ARG,2018,47597426752.65753
Australia,AUS,2018,220498480689.84125
Austria,AUT,2018,24640897091.81922
Azerbaijan,AZE,2018,4059534016.316201
Bahrain,BHR,2018,7993660547.728302
Bangladesh,BGD,2018,14628785403.279793
Belarus,BLR,2018,2073893502.069199
Belgium,BEL,2018,32823939856.321735
Bolivia,BOL,2018,4384168158.3923855
Brazil,BRA,2018,165894475500.00888
Brunei,BRN,2018,2116658922.8575997
Bulgaria,BGR,2018,8436895476.677094
Cambodia,KHM,2018,7030069688.828399
Canada,CAN,2018,198129068608.26172
Chile,CHL,2018,38260953406.44818
China,CHN,2018,1141528943324.967
Colombia,COL,2018,34097513638.916134
Costa Rica,CRI,2018,7724078006.343764
Croatia,HRV,2018,6179789142.857491
Cuba,CUB,2018,15056651386.308338
Czechia,CZE,2018,13401244208.002285
Democratic Republic of Congo,COD,2018,1923148522.316
Denmark,DNK,2018,28792973865.18715
Ecuador,ECU,2018,7986300503.022748
Egypt,EGY,2018,28657075955.09658
El Salvador,SLV,2018,5121904454.521608
Ethiopia,ETH,2018,20676566703.219
European Union,,2018,1678619000000
Fiji,FJI,2018,4675347351.601301
Finland,FIN,2018,26602932890.90306
France,FRA,2018,220434758823.32852
Georgia,GEO,2018,4236070491.636201
Germany,DEU,2018,247186919097.11362
Greece,GRC,2018,43843486944.679405
Hungary,HUN,2018,11152750257.946135
Iceland,ISL,2018,15157080458.874184
India,IND,2018,233548141968.0943
Indonesia,IDN,2018,142422682059.9344
Iran,IRN,2018,22191413122.88752
Iraq,IRQ,2018,5644407976.671499
Ireland,IRL,2018,32997346960.978943
Israel,ISR,2018,34052376917.223347
Italy,ITA,2018,135960600596.14067
Japan,JPN,2018,267315115466.4738
Jordan,JOR,2018,8198734610.809805
Kazakhstan,KAZ,2018,11632279142.609194
Kenya,KEN,2018,13513002788.197193
Kuwait,KWT,2018,14035915533.574883
Kyrgyzstan,KGZ,2018,2906068107.4510007
Latvia,LVA,2018,4303770374.316898
Lebanon,LBN,2018,7715370112.666001
Libya,LBY,2018,757637114.7860004
Luxembourg,LUX,2018,2059810795.0056002
Madagascar,MDG,2018,1737953762.5240011
Malaysia,MYS,2018,88131075398.34389
Malta,MLT,2018,5652841622.011004
Mauritius,MUS,2018,9194438620.292
Mexico,MEX,2018,120508469913.52924
Moldova,MDA,2018,1787416775.5220003
Mongolia,MNG,2018,1121413621.222
Morocco,MAR,2018,24398063227.684208
Myanmar,MMR,2018,5418028737.828999
Namibia,NAM,2018,1954589084.1509993
Nepal,NPL,2018,5847265778.284193
Netherlands,NLD,2018,111674391809.3509
New Zealand,NZL,2018,44078797631.8098
Nigeria,NGA,2018,10695360138.796474
Norway,NOR,2018,28739737893.52899
Oman,OMN,2018,16531495574.000101
Pakistan,PAK,2018,23104746620.094
Panama,PAN,2018,22230246488.820877
Papua New Guinea,PNG,2018,2054803578.7232
Peru,PER,2018,31237983323.171032
Philippines,PHL,2018,63403525441.73686
Poland,POL,2018,30126311713.749672
Portugal,PRT,2018,53236742991.58338
Qatar,QAT,2018,80724234985.64857
Rest of the World,,2018,211824513278.28857
Romania,ROU,2018,15262858877.797688
Russia,RUS,2018,185660567500.32867
Rwanda,RWA,2018,1318130594.0875003
Saudi Arabia,SAU,2018,83746322202.20053
Serbia,SRB,2018,3495879968.7549973
Singapore,SGP,2018,119295092642.67331
South Africa,ZAF,2018,50168718646.74157
South Korea,KOR,2018,133916439950.85938
Spain,ESP,2018,232316029335.12598
Sri Lanka,LKA,2018,15756959792.812601
Suriname,SUR,2018,1185349734.5189996
Sweden,SWE,2018,33423943284.825
Switzerland,CHE,2018,51351198371.62148
Tajikistan,TJK,2018,2584782098.6416
Thailand,THA,2018,153652973004.527
Trinidad and Tobago,TTO,2018,2285908545.0323086
Tunisia,TUN,2018,7554113724.381205
Turkey,TUR,2018,140662664220.41254
Turkmenistan,TKM,2018,1915295814.2880008
Ukraine,UKR,2018,15942359700.3682
United Arab Emirates,ARE,2018,233212004946.30823
United Kingdom,GBR,2018,350353936869.2621
United States,USA,2018,1975729266499.6418
Uzbekistan,UZB,2018,6233764585.767797
Venezuela,VEN,2018,3911831531.7898874
Vietnam,VNM,2018,68861491326.54332
World,OWID_WRL,2018,8502651818921.858
